targy_nev,kredit,felelos,nyelv,link
(Media) Semiotics,3,Dr. Szabó Lilla Petronella,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKK8B?semester=2024/25/2
1989 utáni közjogi fordulatok,3,Dr. Gallai Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NFKF5B?semester=2024/25/1
A bankrendszer szerepe a gazdaságban,6,Dr. Sebestyén Géza,magyar,https://www.uni-corvinus.hu/tantargyak/4MNBNAK04M?semester=2020/21/1
A banküzem működése,8,Pollák Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4BK54LAK69S?semester=2019/20/2
A banküzem működése,magyar,Dr. Tamásné Vőneki Zsuzsanna,magyar,https://www.uni-corvinus.hu/tantargyak/PSPE006LMSB?semester=2020/21/2
A bizonytalanság és a kockázat elmélete,4,Dr. Csóka Péter,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK17O?semester=2021/22/2
A blokklánc közgazdaságtana,4,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/PHGI_BLOCKCHAIN?semester=2019/20/2
A cégvezetés pénzügyei,5,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60LAK04S?semester=2020/21/1
A cégvezetés pénzügyei,5,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60EAK13S?semester=2020/21/1
A cégvezetés pénzügyei,5,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG088EMSB?semester=2023/24/2
A civil társadalom szociológiája,3,Dr. Kristóf Luca,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCKP4B?semester=2019/20/2
"A coaching marketingje, értékesítése és üzleti feltételei",5,Dr. Dunavölgyi Mária,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM029LMSB?semester=2024/25/2
A Country in Focus: Russia in Russian (level:B2-C1),3,Dr. Mágocsi Nyina,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0338NABB?semester=2024/25/2
A Country in Focus: Spain in Spanish (level: B1-B2),3,Kőszegi Dávid,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0339NABB?semester=2025/26/1
A demográfia gazdasági kihívásai,3,dr. Berde Éva,magyar,https://www.uni-corvinus.hu/tantargyak/KOZNXV4MI19?semester=2019/20/2
A design vállalati irányítási kérdései,3,Dr. Habil Horváth Dóra,magyar,https://www.uni-corvinus.hu/tantargyak/2ME43NDV01M?semester=2025/26/1
A designkommunikáció vállalatirányítási kérdései,5,Dr. Cosovan Attila Róbert,magyar,https://www.uni-corvinus.hu/tantargyak/2ME43NDV03M?semester=2025/26/1
A FÁK térség államai 1991-től 2018-ig,3,Sz. Biró Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGVC8M?semester=2019/20/2
A fejlődés politikai gazdaságtana,6,Dr. Benczes István Zsolt,magyar,https://www.uni-corvinus.hu/tantargyak/NPVG009NMMB?semester=2025/26/1
A felnőttoktatás módszerei: bevezetés az e-tanulás módszereibe,3,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAK17S?semester=2020/21/1
A felsőoktatás és oktatói- kutatói karrierpálya (in Hungarian),6,Kováts Gergely Ferenc,magyar,https://www.uni-corvinus.hu/tantargyak/PHG_A felsőoktatás és oktatói?semester=2019/20/2
A feltörekvő piacok gazdaságtana,6,Dr. Csaba László,magyar,https://www.uni-corvinus.hu/tantargyak/4OG33NAK25M?semester=2025/26/1
A feminizmus kérdései,3,Dr. Várnagy Réka,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NFV33B?semester=2019/20/2
A fenntartható és társadalmilag felelős vállalat,3,Dr. Ásványi Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/2KG23NBK02M?semester=2020/21/2
A fenntarthatóság és felelősségvállalás kommunikációja,6,Dr. Ásványi Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM024NMBB?semester=2023/24/2
A fenntarthatóság gazdaságtana,3,Dr. Kocsis Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/7GF20NBK07M?semester=2022/23/1
A fenntarthatósági teljesítmény mérése és szakpolitikai háttere,6,Dr. Harangozó Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/VGLE023NMBB?semester=2024/25/2
A fogyasztás adóztatása,3,Dr. Czoboly Gergely István,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NAV02B?semester=2019/20/2
A fogyasztás társadalomtörténete,3,Dr. Kristóf Luca,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NDVF2B?semester=2021/22/2
A földgáz szektor gazdaságtana I.,3,Felsmann Balázs,magyar,https://www.uni-corvinus.hu/tantargyak/2KT51LCK07S?semester=2020/21/1
